"i","section","y_mm"
1,155,41.08
2,153,40.06
3,151,39.58
4,149,39.05
5,147,38.56
6,144,38.52
7,142,38.5
8,140,38
9,138,37.5
10,143,37.01
11,141,36.5
12,139,36.02
13,137,35.55
14,135,35.04
15,133,34.55
16,130,34.04
17,131,33.54
18,129,33.04
19,127,32.54
20,125,32.05
21,123,31.56
22,121,31.07
23,119,30.56
24,117,30.04
25,115,29.56
26,113,29.06
27,111,28.57
28,109,28.33
29,107,27.84
30,105,27.35
31,103,26.86
32,101,26.35
33,99,25.85
34,97,25.37
35,95,24.88
36,93,24.39
37,91,23.88
38,89,23.41
39,87,22.9
40,85,22.39
41,81,22.03
42,83,21.89
43,79,21.4
44,77,20.91
45,75,20.42
46,73,19.91
47,71,19.42
48,67,18.45
49,65,17.99
50,63,17.47
51,61,16.98
52,59,16.46
53,57,15.94
54,55,15.46
55,53,14.93
56,51,14.45
57,59,13.94
58,47,13.45
59,45,12.94
60,43,12.54
61,41,11.97
62,39,11.49
63,37,10.99
64,33,10
65,31,9.51
66,29,9.11
67,27,8.5
68,25,8
69,28,6.73
70,30,6.23
71,32,5.72
72,34,5.19
73,36,4.73
74,38,4.22
75,40,3.72
76,42,3.22
77,44,2.72
79,48,1.69
79,50,1.22
80,52,0.71
81,54,0.22
82,56,-0.28
83,58,-0.79
84,60,-1.29
85,62,-1.8
86,64,-2.3
87,66,-2.8
88,68,-3.3
89,72,-4.3
90,74,-4.8
91,76,-5.3
92,78,-5.8
93,80,-6.3
94,82,-6.8
95,84,-7.3
96,88,-8.3
97,90,-8.8
98,92,-9.3
99,94,-9.79
100,96,-10.25
101,98,-10.74
102,100,-11.24
103,102,-11.74
104,104,-12.24
105,106,-12.74
106,108,-13.24
107,110,-13.74
108,112,-14.24
109,114,-14.74
110,116,-15.24
111,118,-15.74
112,120,-16.24
113,122,-16.74
114,124,-17.24
115,136,-17.87
116,134,-18.46
117,132,-19.17
118,128,-19.58
119,126,-20.2
